iter=1430,loss=0.062633,psnr=24.063909
iter=1440,loss=0.062395,psnr=24.096947
iter=1450,loss=0.062608,psnr=24.067458
iter=1460,loss=0.062984,psnr=24.015404
iter=1470,loss=0.063421,psnr=23.955363
iter=1480,loss=0.063818,psnr=23.901071
iter=1490,loss=0.064150,psnr=23.856110
iter=1500,loss=0.064502,psnr=23.808519
iter=1510,loss=0.064548,psnr=23.802338
iter=1520,loss=0.064418,psnr=23.819857
iter=1530,loss=0.064377,psnr=23.825346
iter=1540,loss=0.064511,psnr=23.807390
iter=1550,loss=0.064563,psnr=23.800269
iter=1560,loss=0.063468,psnr=23.948877
iter=1570,loss=0.063124,psnr=23.996105
iter=1580,loss=0.063425,psnr=23.954737
iter=1590,loss=0.062820,psnr=24.038091
iter=1600,loss=0.062458,psnr=24.088227
iter=1610,loss=0.060798,psnr=24.322189
iter=1620,loss=0.059638,psnr=24.489552
iter=1630,loss=0.059664,psnr=24.485707
iter=1640,loss=0.059559,psnr=24.500988
iter=1650,loss=0.058822,psnr=24.609173
iter=1660,loss=0.058309,psnr=24.685328
iter=1670,loss=0.057071,psnr=24.871705
iter=1680,loss=0.056982,psnr=24.885304
iter=1690,loss=0.057462,psnr=24.812416
iter=1700,loss=0.058042,psnr=24.725200
iter=1710,loss=0.058627,psnr=24.638092
iter=1720,loss=0.059142,psnr=24.562010
iter=1730,loss=0.059288,psnr=24.540718
iter=1740,loss=0.058135,psnr=24.711258
iter=1750,loss=0.057451,psnr=24.814068
iter=1760,loss=0.057631,psnr=24.786845
iter=1770,loss=0.058005,psnr=24.730648
iter=1780,loss=0.058460,psnr=24.662797
iter=1790,loss=0.058942,psnr=24.591549
iter=1800,loss=0.059488,psnr=24.511364
iter=1810,loss=0.060061,psnr=24.428118
iter=1820,loss=0.060626,psnr=24.346868
iter=1830,loss=0.061102,psnr=24.278867
iter=1840,loss=0.061541,psnr=24.216732
iter=1850,loss=0.061849,psnr=24.173292
iter=1860,loss=0.062227,psnr=24.120485
iter=1870,loss=0.062444,psnr=24.090222
iter=1880,loss=0.061957,psnr=24.158261
iter=1890,loss=0.062082,psnr=24.140731
iter=1900,loss=0.062435,psnr=24.091409
iter=1910,loss=0.062776,psnr=24.044096
iter=1920,loss=0.062233,psnr=24.119516
iter=1930,loss=0.060932,psnr=24.303131
iter=1940,loss=0.060238,psnr=24.402551
iter=1950,loss=0.060288,psnr=24.395319
iter=1960,loss=0.059748,psnr=24.473502
iter=1970,loss=0.059354,psnr=24.530935
iter=1980,loss=0.059674,psnr=24.484299
iter=1990,loss=0.060056,psnr=24.428812
iter=2000,loss=0.060408,psnr=24.378155
iter=2010,loss=0.060838,psnr=24.316568
iter=2020,loss=0.061319,psnr=24.248061
iter=2030,loss=0.061825,psnr=24.176710
iter=2040,loss=0.062293,psnr=24.111181
iter=2050,loss=0.062648,psnr=24.061824
iter=2060,loss=0.062792,psnr=24.041922
iter=2070,loss=0.061961,psnr=24.157642
iter=2080,loss=0.061957,psnr=24.158162
iter=2090,loss=0.062365,psnr=24.101153
iter=2100,loss=0.062875,psnr=24.030406
iter=2110,loss=0.062427,psnr=24.092539
iter=2120,loss=0.061649,psnr=24.201442
iter=2130,loss=0.061582,psnr=24.210927
iter=2140,loss=0.061811,psnr=24.178618
